Date,aapl,cisco,ibm,amzn
10/17/14,92.76229843,21.2227621,165.726695,303.64
10/20/14,94.74728055,20.93066387,153.9378419,306.21
10/21/14,97.32110904,21.46009191,148.5941688,315.33
10/22/14,97.81498019,21.23189017,147.2832847,312.97
10/23/14,99.56252426,21.51029629,147.6383158,313.18
10/24/14,99.93292762,21.70654979,147.5472822,287.06
10/27/14,99.82845487,21.68829365,147.3561116,289.97
10/28/14,101.376551,21.96669978,148.9309931,295.59
10/29/14,101.9464023,21.99864802,148.8035461,294.12
10/30/14,101.6044915,21.98039188,149.6137453,299.07
10/31/14,102.5732388,22.3363866,149.6592621,305.46
11/3/14,103.9028919,22.43679537,149.6228486,305.72
11/4/14,103.1430901,22.71063746,148.0661738,302.81
11/5/14,103.3900257,22.95709534,147.3105948,296.52
11/6/14,103.6844489,23.05750411,147.9842436,296.64
11/7/14,103.9801451,23.1214006,148.5433318,299.86
11/10/14,103.8084505,22.95709534,149.8448159,305.11
11/11/14,104.6383076,22.95709534,149.6706737,312.01
11/12/14,106.1167887,22.92058307,148.4058511,311.51
11/13/14,107.614347,23.44088304,149.2032392,316.48
11/14/14,108.9115949,24.0250795,150.4588965,327.82
11/17/14,108.7303618,24.15743651,150.4588965,323.05
11/18/14,110.1420728,24.27610142,148.3783549,324.93
11/19/14,109.3789857,24.27153738,147.9567474,326.54
11/20/14,110.9433141,24.47235492,147.2326823,330.54
11/21/14,111.0959315,24.53625141,147.489313,332.63
11/24/14,113.1514972,24.67317245,148.6166549,335.64
11/25/14,112.1737919,24.9013742,148.259205,335.04
11/26/14,113.5091942,25.03373121,148.4333472,333.57
11/28/14,113.4424241,25.2299847,148.6349856,338.64
12/1/14,109.7605292,25.18434436,148.0575666,326
12/2/14,109.3408314,25.39428996,149.0932547,326.31
12/3/14,110.5808478,25.51295487,150.7888502,316.5
12/4/14,110.1611499,25.34864961,150.3580773,316.93
12/5/14,109.6937591,25.10219173,149.6431775,312.63
12/8/14,107.2137263,24.85573385,148.3508588,306.64
12/9/14,108.8543634,25.02916717,149.3865469,312.5
12/10/14,106.7844899,24.52712334,147.1135324,305.84
12/11/14,106.4697165,24.63666017,147.6267937,307.36
12/12/14,104.6669234,24.51343123,142.4116918,307.32
12/15/14,103.2313659,24.35369001,140.2853234,306.07
12/16/14,101.8196549,24.26697335,138.7730355,295.06
12/17/14,104.3616886,24.47235492,139.2496354,298.88
12/18/14,107.452191,25.23911277,144.5197295,297.73
12/19/14,106.6223339,25.34864961,145.2804561,299.9
12/22/14,107.7288101,25.75941275,147.9659128,306.54
12/23/14,107.3472665,25.78679696,148.6991433,306.285
